data,anno,id_pratica,id_cliente,filiale,filiale_brand_prevalente,venditore,venditore_brand_prevalente,categoria_prodotto,data_prima_immatricolazione,anzianita_mesi,km_attuali,canale,giacenza_giorni,giacenza_fascia,over150_flag,fascia_prezzo,sconto_applicato_eur,marca,modello,importo_fattura,finanziamento,tipo_prodotto_fi,istituto_finanziario,durata_mesi,importo_finanziato,tipo_cliente,pacchetto_assicurativo,estensione_garanzia,margine_servizi_eur,margine_ferro_eur,margine_totale_eur
2024-02-03,2024,PR-24-00009,CL-24-100009,Filiale 1,BMW,VEND_Filiale1_02,BMW,NUOVO,2024-01-16,0,37,Lead,45,1-90,NO,<=60000,805,BMW,X3,48037,NO,,,,0,Azienda,SI,NO,1028,1613,2641
2024-08-20,2024,PR-24-00010,CL-24-100010,Filiale 7,KIA,VEND_Filiale7_01,KIA,USATO,2016-10-02,94,128951,Showroom,69,1-90,NO,<=60000,616,KIA,Sportage,46506,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,38319,Privato,SI,SI,3326,2238,5564
2024-08-17,2024,PR-24-00011,CL-24-100011,Filiale 6,MINI,VEND_Filiale6_03,MINI,NUOVO,2024-08-09,0,68,Showroom,37,1-90,NO,<=60000,756,MINI,Cooper S,52631,SI,RENTING,FIN_MOBILITY,48.0,37549,Privato,NO,SI,1225,2854,4079
2025-09-24,2025,PR-25-00009,CL-25-100009,Filiale 8,KIA,VEND_Filiale8_04,Hyundai,USATO,2019-09-16,72,100042,Remarketing,25,1-90,NO,<=60000,663,Hyundai,Kona,21095,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,18155,Privato,SI,SI,2736,1404,4140
2025-12-14,2025,PR-25-00010,CL-25-100010,Filiale 1,BMW,VEND_Filiale1_03,BMW,NUOVO,2025-10-29,1,84,Remarketing,31,1-90,NO,<=60000,557,BMW,Serie 3,52092,NO,,,,0,Privato,SI,SI,1821,3503,5324
2025-10-01,2025,PR-25-00011,CL-25-100011,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,NUOVO,2025-09-19,0,54,Web,49,1-90,NO,>60000,850,Mercedes,GLC,96584,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,48.0,85819,Privato,SI,NO,1554,5763,7317
2024-07-27,2024,PR-24-00012,CL-24-100012,Filiale 1,BMW,VEND_Filiale1_07,MINI,NUOVO,2024-06-09,1,68,Showroom,5,1-90,NO,>60000,1219,BMW,Serie 3,69594,NO,,,,0,Privato,NO,SI,710,1681,2391
2024-04-13,2024,PR-24-00013,CL-24-100013,Filiale 6,MINI,VEND_Filiale6_02,MINI,NUOVO,2024-02-17,1,96,Showroom,10,1-90,NO,<=60000,32,MINI,Cooper SE,51066,SI,RENTING,FIN_MOBILITY,48.0,33014,Azienda,SI,NO,2247,2426,4673
2025-08-11,2025,PR-25-00012,CL-25-100012,Filiale 7,KIA,VEND_Filiale7_03,KIA,NUOVO,2025-08-08,0,27,Lead,11,1-90,NO,<=60000,287,KIA,Sportage,26469,NO,,,,0,Privato,SI,NO,903,1732,2635
2025-03-29,2025,PR-25-00013,CL-25-100013,Filiale 3,Mercedes,VEND_Filiale3_05,BMW,NUOVO,2025-02-17,1,153,Showroom,28,1-90,NO,>60000,1411,BMW,Serie 3,91006,SI,LEASING,FIN_LEASE_GROUP,60.0,81240,Privato,SI,SI,2673,5941,8614
2025-05-23,2025,PR-25-00014,CL-25-100014,Filiale 6,MINI,VEND_Filiale6_04,Mercedes,NUOVO,2025-05-05,0,118,Lead,34,1-90,NO,>60000,974,Mercedes,Classe A,108640,NO,,,,0,Privato,SI,NO,1081,6043,7124
2024-02-11,2024,PR-24-00014,CL-24-100014,Filiale 5,MINI,VEND_Filiale5_02,MINI,NUOVO,2024-01-20,0,139,Web,8,1-90,NO,<=60000,219,MINI,Cooper SE,48341,NO,,,,0,Azienda,SI,NO,732,3483,4215
2025-07-24,2025,PR-25-00015,CL-25-100015,Filiale 6,MINI,VEND_Filiale6_04,Mercedes,NUOVO,2025-05-29,1,149,Showroom,38,1-90,NO,<=60000,9,Mercedes,GLC,32224,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,48.0,24980,Privato,SI,NO,1994,1580,3574
2025-06-13,2025,PR-25-00016,CL-25-100016,Filiale 2,BMW,VEND_Filiale2_02,BMW,NUOVO,2025-05-04,1,165,Web,46,1-90,NO,>60000,588,BMW,X3,60399,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,48.0,53010,Privato,NO,SI,1744,2973,4717
2025-02-19,2025,PR-25-00017,CL-25-100017,Filiale 4,Mercedes,VEND_Filiale4_04,Mercedes,USATO,2012-09-11,149,141940,Showroom,81,1-90,NO,>60000,1960,Mercedes,GLC,70281,NO,,,,0,Privato,NO,NO,99,2827,2926
2024-10-25,2024,PR-24-00015,CL-24-100015,Filiale 5,MINI,VEND_Filiale5_02,MINI,KM0,2024-08-20,2,1754,Showroom,45,1-90,NO,<=60000,627,MINI,Cooper,54143,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,29922,Privato,NO,SI,1697,2249,3946
2025-11-13,2025,PR-25-00018,CL-25-100018,Filiale 1,BMW,VEND_Filiale1_06,BMW,USATO,2024-09-09,14,33694,Showroom,127,90-150,NO,<=60000,1078,BMW,Serie 1,28250,NO,,,,0,Privato,NO,SI,916,1511,2427
2024-10-25,2024,PR-24-00016,CL-24-100016,Filiale 1,BMW,VEND_Filiale1_02,BMW,NUOVO,2024-10-15,0,177,Showroom,16,1-90,NO,>60000,734,BMW,X1,76342,SI,RENTING,FIN_MOBILITY,60.0,60977,Azienda,SI,NO,1005,3148,4153
2024-08-18,2024,PR-24-00017,CL-24-100017,Filiale 9,Hyundai,VEND_Filiale9_03,KIA,USATO,2023-04-21,15,10000,Web,136,90-150,NO,<=60000,2684,KIA,Ceed,30770,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,19375,Privato,SI,NO,1979,544,2523
2025-07-28,2025,PR-25-00019,CL-25-100019,Filiale 2,BMW,VEND_Filiale2_01,BMW,KM0,2025-04-23,3,3237,B2B,25,1-90,NO,>60000,3081,BMW,Serie 2,85176,NO,,,,0,Privato,SI,NO,782,1968,2750
2025-04-12,2025,PR-25-00020,CL-25-100020,Filiale 2,BMW,VEND_Filiale2_01,BMW,NUOVO,2025-03-31,0,176,Showroom,33,1-90,NO,>60000,549,BMW,Serie 1,86018,SI,RENTING,FIN_MOBILITY,36.0,61169,Privato,SI,SI,2361,5761,8122
2025-06-23,2025,PR-25-00021,CL-25-100021,Filiale 3,Mercedes,VEND_Filiale3_01,Mercedes,KM0,2025-05-08,1,1068,Showroom,69,1-90,NO,>60000,754,Mercedes,Classe A,78899,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,56781,Privato,SI,SI,2360,4334,6694
2024-06-30,2024,PR-24-00018,CL-24-100018,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,NUOVO,2024-06-11,0,97,Web,24,1-90,NO,>60000,147,Mercedes,GLA,103365,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,57356,Privato,NO,NO,374,6423,6797
2024-10-05,2024,PR-24-00019,CL-24-100019,Filiale 2,BMW,VEND_Filiale2_06,Mercedes,NUOVO,2024-09-04,1,143,Showroom,11,1-90,NO,>60000,838,Mercedes,GLC,88017,NO,,,,0,Azienda,NO,SI,337,3272,3609
2024-12-23,2024,PR-24-00020,CL-24-100020,Filiale 6,MINI,VEND_Filiale6_03,MINI,NUOVO,2024-12-02,0,61,Showroom,5,1-90,NO,<=60000,704,MINI,Cooper SE,43633,NO,,,,0,Privato,SI,SI,2100,1472,3572
2025-07-03,2025,PR-25-00022,CL-25-100022,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,NUOVO,2025-05-17,1,108,Lead,32,1-90,NO,>60000,1448,Hyundai,Kona,61866,NO,,,,0,Privato,NO,SI,1102,1742,2844
2024-10-26,2024,PR-24-00021,CL-24-100021,Filiale 5,MINI,VEND_Filiale5_04,Hyundai,KM0,2024-07-20,3,3389,B2B,48,1-90,NO,<=60000,1054,MINI,Clubman,30962,SI,RENTING,FIN_MOBILITY,48.0,23243,Azienda,SI,NO,1283,284,1567
2025-02-15,2025,PR-25-00023,CL-25-100023,Filiale 1,BMW,VEND_Filiale1_06,BMW,NUOVO,2025-02-04,0,163,Showroom,1,1-90,NO,>60000,73,BMW,X5,89930,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,48.0,69213,Privato,SI,NO,1434,6699,8133
2024-09-30,2024,PR-24-00022,CL-24-100022,Filiale 6,MINI,VEND_Filiale6_03,MINI,NUOVO,2024-09-09,0,59,Showroom,32,1-90,NO,<=60000,697,MINI,Clubman,47065,SI,RENTING,FIN_MOBILITY,60.0,30078,Privato,NO,SI,1171,2245,3416
2025-08-22,2025,PR-25-00024,CL-25-100024,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,NUOVO,2025-08-05,0,127,Showroom,26,1-90,NO,>60000,961,Mercedes,Classe B,68594,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,59886,Azienda,SI,NO,1653,3772,5425
2025-10-01,2025,PR-25-00025,CL-25-100025,Filiale 5,MINI,VEND_Filiale5_01,MINI,USATO,2022-03-16,42,60359,Remarketing,34,1-90,NO,<=60000,1171,MINI,Cooper,45671,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,25231,Privato,NO,SI,1482,1952,3434
2025-02-04,2025,PR-25-00026,CL-25-100026,Filiale 4,Mercedes,VEND_Filiale4_01,Mercedes,NUOVO,2025-01-20,0,68,Showroom,12,1-90,NO,<=60000,376,Mercedes,GLA,46186,NO,,,,0,Privato,SI,NO,764,2373,3137
2024-07-30,2024,PR-24-00023,CL-24-100023,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,NUOVO,2024-07-20,0,83,Web,20,1-90,NO,<=60000,936,Mercedes,GLC,59451,SI,RENTING,FIN_MOBILITY,60.0,37671,Privato,SI,NO,1226,3195,4421
2025-12-20,2025,PR-25-00027,CL-25-100027,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2025-11-21,0,168,Showroom,17,1-90,NO,<=60000,634,BMW,Serie 2,58182,NO,,,,0,Privato,NO,NO,109,2651,2760
2025-08-16,2025,PR-25-00028,CL-25-100028,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,NUOVO,2025-08-06,0,91,Showroom,27,1-90,NO,>60000,114,Hyundai,i30,61430,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,36.0,46162,Privato,SI,SI,2788,3307,6095
2025-05-08,2025,PR-25-00029,CL-25-100029,Filiale 2,BMW,VEND_Filiale2_05,BMW,KM0,2025-02-22,2,2287,Showroom,24,1-90,NO,<=60000,1069,MINI,Cooper S,31508,NO,,,,0,Privato,SI,NO,784,857,1641
2024-09-01,2024,PR-24-00024,CL-24-100024,Filiale 8,KIA,VEND_Filiale8_02,KIA,KM0,2024-06-27,2,1858,Showroom,69,1-90,NO,<=60000,519,KIA,Stonic,36959,SI,MAXIRATA,FIN_AUTO_ONE,36.0,23221,Privato,NO,SI,1452,1916,3368
2024-12-11,2024,PR-24-00025,CL-24-100025,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,NUOVO,2024-12-02,0,72,Showroom,14,1-90,NO,>60000,738,Mercedes,Classe B,94395,SI,MAXIRATA,FIN_AUTO_ONE,36.0,61870,Privato,NO,NO,265,5354,5619
2025-05-26,2025,PR-25-00030,CL-25-100030,Filiale 10,Hyundai,VEND_Filiale10_02,MINI,KM0,2025-04-07,1,1217,Web,47,1-90,NO,<=60000,927,MINI,Cooper S,34445,SI,FINANZIAMENTO,FIN_AUTO_ONE,60.0,25125,Privato,SI,SI,3358,1448,4806
2025-09-25,2025,PR-25-00031,CL-25-100031,Filiale 1,BMW,VEND_Filiale1_01,BMW,NUOVO,2025-08-30,0,27,Showroom,12,1-90,NO,<=60000,351,BMW,X1,50244,SI,MAXIRATA,FIN_AUTO_ONE,48.0,38172,Privato,SI,NO,1187,3646,4833
2024-12-20,2024,PR-24-00026,CL-24-100026,Filiale 5,MINI,VEND_Filiale5_01,MINI,USATO,2024-03-27,8,10000,Lead,59,1-90,NO,<=60000,1031,MINI,Cooper SE,42424,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,48.0,36713,Privato,SI,SI,2919,2476,5395
2024-11-27,2024,PR-24-00027,CL-24-100027,Filiale 4,Mercedes,VEND_Filiale4_03,Mercedes,USATO,2022-03-07,32,57997,Web,46,1-90,NO,>60000,1505,Mercedes,GLE,66963,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,38993,Privato,SI,NO,1549,4287,5836
2024-11-27,2024,PR-24-00028,CL-24-100028,Filiale 3,Mercedes,VEND_Filiale3_04,Mercedes,NUOVO,2024-11-17,0,21,B2B,2,1-90,NO,<=60000,625,Mercedes,GLA,58891,NO,,,,0,Privato,SI,SI,2522,3057,5579
2025-01-11,2025,PR-25-00032,CL-25-100032,Filiale 1,BMW,VEND_Filiale1_03,BMW,KM0,2024-11-06,2,1734,Showroom,79,1-90,NO,>60000,2030,BMW,Serie 3,82241,SI,RENTING,FIN_MOBILITY,36.0,51562,Privato,SI,NO,1450,689,2139
2025-08-02,2025,PR-25-00033,CL-25-100033,Filiale 3,Mercedes,VEND_Filiale3_05,BMW,NUOVO,2025-07-16,0,199,Web,37,1-90,NO,<=60000,535,Mercedes,GLA,54318,SI,FINANZIAMENTO,FIN_AUTO_ONE,48.0,42674,Privato,SI,NO,1729,3286,5015
2025-12-16,2025,PR-25-00034,CL-25-100034,Filiale 6,MINI,VEND_Filiale6_01,MINI,KM0,2025-11-06,1,881,Showroom,20,1-90,NO,<=60000,1747,MINI,Cooper SE,54779,NO,,,,0,Privato,SI,NO,1320,805,2125
2025-06-07,2025,PR-25-00035,CL-25-100035,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,NUOVO,2025-06-03,0,189,Showroom,13,1-90,NO,<=60000,336,Hyundai,i30,24031,NO,,,,0,Privato,NO,NO,0,818,818
2025-02-12,2025,PR-25-00036,CL-25-100036,Filiale 8,KIA,VEND_Filiale8_01,KIA,USATO,2020-04-04,58,59520,Showroom,7,1-90,NO,<=60000,959,KIA,Niro,46105,SI,FINANZIAMENTO,FIN_AUTO_ONE,72.0,34631,Privato,SI,SI,2277,3993,6270
2024-06-26,2024,PR-24-00029,CL-24-100029,Filiale 2,BMW,VEND_Filiale2_02,BMW,NUOVO,2024-06-10,0,147,Showroom,5,1-90,NO,>60000,633,BMW,X3,68370,SI,MAXIRATA,FIN_AUTO_ONE,48.0,50366,Privato,SI,NO,1822,3728,5550
2024-08-23,2024,PR-24-00030,CL-24-100030,Filiale 4,Mercedes,VEND_Filiale4_02,Mercedes,USATO,2019-07-28,60,66543,Showroom,21,1-90,NO,>60000,2830,Mercedes,Classe C,71412,NO,,,,0,Privato,NO,NO,0,3168,3168
2024-01-09,2024,PR-24-00031,CL-24-100031,Filiale 1,BMW,VEND_Filiale1_06,BMW,NUOVO,2024-01-08,0,143,Showroom,17,1-90,NO,<=60000,129,BMW,Serie 2,28809,NO,,,,0,Privato,NO,NO,63,2168,2231
2024-09-02,2024,PR-24-00032,CL-24-100032,Filiale 4,Mercedes,VEND_Filiale4_06,Hyundai,NUOVO,2024-08-01,1,54,Showroom,7,1-90,NO,<=60000,550,Hyundai,Tucson,49501,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,38862,Privato,SI,SI,2950,3000,5950
2024-01-11,2024,PR-24-00033,CL-24-100033,Filiale 2,BMW,VEND_Filiale2_01,BMW,KM0,2023-10-27,2,2092,Remarketing,85,1-90,NO,>60000,486,BMW,X1,86392,SI,MAXIRATA,FIN_AUTO_ONE,48.0,52572,Azienda,NO,NO,434,3887,4321
2025-03-22,2025,PR-25-00037,CL-25-100037,Filiale 2,BMW,VEND_Filiale2_06,Mercedes,NUOVO,2025-02-07,1,79,Showroom,51,1-90,NO,>60000,502,BMW,Serie 3,64881,NO,,,,0,Privato,NO,NO,0,4780,4780
2024-05-27,2024,PR-24-00034,CL-24-100034,Filiale 5,MINI,VEND_Filiale5_02,MINI,KM0,2024-04-21,1,1627,Showroom,88,1-90,NO,<=60000,175,MINI,Countryman,21481,SI,RENTING,FIN_MOBILITY,48.0,13980,Privato,NO,NO,495,990,1485
2024-03-01,2024,PR-24-00035,CL-24-100035,Filiale 6,MINI,VEND_Filiale6_01,MINI,NUOVO,2024-01-28,1,164,B2B,46,1-90,NO,<=60000,471,MINI,Clubman,27656,NO,,,,0,Azienda,SI,SI,1847,1174,3021
2025-03-07,2025,PR-25-00038,CL-25-100038,Filiale 2,BMW,VEND_Filiale2_04,BMW,NUOVO,2025-02-09,0,98,Showroom,18,1-90,NO,>60000,927,BMW,Serie 3,69776,SI,RENTING,FIN_MOBILITY,60.0,43081,Azienda,SI,NO,1935,2207,4142
2025-10-13,2025,PR-25-00039,CL-25-100039,Filiale 9,Hyundai,VEND_Filiale9_02,Hyundai,NUOVO,2025-10-06,0,58,Showroom,7,1-90,NO,>60000,73,Mercedes,Classe B,116482,NO,,,,0,Privato,SI,NO,1817,7148,8965
2024-04-27,2024,PR-24-00036,CL-24-100036,Filiale 1,BMW,VEND_Filiale1_01,BMW,NUOVO,2024-03-30,0,98,Web,37,1-90,NO,<=60000,502,BMW,X1,29605,SI,MAXIRATA,FIN_AUTO_ONE,36.0,22688,Privato,NO,SI,1468,1734,3202
2024-06-08,2024,PR-24-00037,CL-24-100037,Filiale 2,BMW,VEND_Filiale2_01,BMW,NUOVO,2024-04-11,1,37,Showroom,44,1-90,NO,>60000,1016,BMW,Serie 2,82960,NO,,,,0,Privato,SI,NO,1046,2727,3773
2025-12-19,2025,PR-25-00040,CL-25-100040,Filiale 9,Hyundai,VEND_Filiale9_02,Hyundai,USATO,2013-10-10,145,153900,Lead,19,1-90,NO,<=60000,833,Hyundai,i20,39828,NO,,,,0,Privato,NO,NO,0,3884,3884
2025-12-03,2025,PR-25-00041,CL-25-100041,Filiale 9,Hyundai,VEND_Filiale9_01,Hyundai,USATO,2021-05-29,53,91633,Web,44,1-90,NO,<=60000,299,Hyundai,Kona,39192,NO,,,,0,Privato,SI,NO,815,2965,3780
2025-05-12,2025,PR-25-00042,CL-25-100042,Filiale 1,BMW,VEND_Filiale1_04,BMW,NUOVO,2025-04-05,1,73,Lead,9,1-90,NO,<=60000,168,BMW,X1,45257,SI,RENTING,FIN_MOBILITY,48.0,40701,Privato,NO,NO,510,2264,2774
2024-04-17,2024,PR-24-00038,CL-24-100038,Filiale 5,MINI,VEND_Filiale5_05,KIA,USATO,2022-06-10,21,10000,Web,86,1-90,NO,<=60000,570,KIA,Sportage,33198,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,21016,Privato,SI,SI,2731,1597,4328
2025-02-28,2025,PR-25-00043,CL-25-100043,Filiale 5,MINI,VEND_Filiale5_02,MINI,NUOVO,2025-01-03,1,49,Lead,66,1-90,NO,<=60000,248,MINI,Cooper SE,29219,SI,MAXIRATA,FIN_AUTO_ONE,36.0,20477,Privato,NO,NO,580,1131,1711
2024-03-10,2024,PR-24-00039,CL-24-100039,Filiale 1,BMW,VEND_Filiale1_07,MINI,KM0,2024-02-09,1,1648,Web,51,1-90,NO,<=60000,1008,MINI,Cooper SE,35377,NO,,,,0,Privato,NO,NO,150,736,886
2024-09-18,2024,PR-24-00040,CL-24-100040,Filiale 4,Mercedes,VEND_Filiale4_04,Mercedes,NUOVO,2024-09-02,0,176,Showroom,30,1-90,NO,>60000,1237,Mercedes,Classe B,95767,NO,,,,0,Azienda,NO,NO,0,4788,4788
2025-09-22,2025,PR-25-00044,CL-25-100044,Filiale 3,Mercedes,VEND_Filiale3_05,BMW,KM0,2025-08-02,1,1394,Lead,26,1-90,NO,<=60000,1088,KIA,Stonic,44218,SI,MAXIRATA,FIN_AUTO_ONE,36.0,28897,Privato,SI,NO,1576,707,2283
2024-01-30,2024,PR-24-00041,CL-24-100041,Filiale 3,Mercedes,VEND_Filiale3_02,Mercedes,KM0,2023-11-19,2,1296,Showroom,31,1-90,NO,>60000,2693,Mercedes,GLA,69531,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,60.0,50814,Azienda,SI,SI,2949,1627,4576
2024-07-06,2024,PR-24-00042,CL-24-100042,Filiale 4,Mercedes,VEND_Filiale4_05,MINI,NUOVO,2024-05-25,1,92,Lead,15,1-90,NO,<=60000,547,MINI,Cooper,33843,NO,,,,0,Privato,NO,NO,114,1122,1236
2025-12-11,2025,PR-25-00045,CL-25-100045,Filiale 2,BMW,VEND_Filiale2_03,BMW,NUOVO,2025-11-22,0,30,Showroom,10,1-90,NO,<=60000,388,BMW,X1,46106,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,24.0,28639,Privato,SI,SI,3227,2044,5271
2025-04-03,2025,PR-25-00046,CL-25-100046,Filiale 4,Mercedes,VEND_Filiale4_04,Mercedes,NUOVO,2025-03-15,0,122,Showroom,9,1-90,NO,>60000,1509,Mercedes,GLE,99763,NO,,,,0,Azienda,NO,NO,4,6221,6225
2025-09-19,2025,PR-25-00047,CL-25-100047,Filiale 2,BMW,VEND_Filiale2_01,BMW,KM0,2025-06-16,3,3452,Showroom,37,1-90,NO,>60000,1947,BMW,X3,69598,SI,RENTING,FIN_MOBILITY,60.0,38545,Privato,NO,SI,1827,200,2027
2025-12-12,2025,PR-25-00048,CL-25-100048,Filiale 7,KIA,VEND_Filiale7_02,KIA,USATO,2024-05-14,18,27864,Showroom,54,1-90,NO,<=60000,339,KIA,Sorento,16835,SI,FINANZIAMENTO,FIN_RETAIL_CREDIT,72.0,12906,Privato,SI,SI,2666,995,3661
2024-09-01,2024,PR-24-00043,CL-24-100043,Filiale 4,Mercedes,VEND_Filiale4_04,Mercedes,NUOVO,2024-08-25,0,172,Showroom,27,1-90,NO,>60000,893,Mercedes,GLA,86561,NO,,,,0,Azienda,NO,NO,117,3779,3896
2024-01-10,2024,PR-24-00044,CL-24-100044,Filiale 4,Mercedes,VEND_Filiale4_03,Mercedes,NUOVO,2023-12-09,1,3,Lead,37,1-90,NO,>60000,130,Mercedes,GLC,70986,NO,,,,0,Azienda,NO,NO,72,3686,3758
